condition,audit_violation_mean,audit_ci95,dkw_bound,refused,bates_bh_fdr,pact_fdr
Encoder removed,0.004908963297601339,0.001736564762159031,0.010650468876161138,0/3,0.09514172783605129,0.03336679136453101
KNN removed,0.14175713168510315,0.029285982635739297,0.011067208987000093,3/3,0.6842824647784878,0.5855178986533905
Curvature 0.5,0.007261221754950337,0.005127573889091898,0.011321300360454487,0/3,0.09514172783605129,0.03336679136453101
Evidential term,0.1773172805347568,0.01395410134168118,0.010430240484951397,3/3,0.6842824647784878,0.5855178986533905
