dataset,q,prevalence,arm,calibration_size,fdr_mean,fdr_ci95,power_mean,power_ci95,draws_over_q,seeds_over_q
toniot,0.2,0.001,PACT conditional L=100 (shipped),12000,0.0,0.0,0.0,0.0,0.0,0.0
toniot,0.2,0.001,Storey-BH,12000,0.6044778998778999,0.2951838175951406,0.00305801235572494,0.00319897474484123,0.8,1.0
toniot,0.2,0.001,BY,12000,0.0,0.0,0.0,0.0,0.0,0.0
toniot,0.2,0.001,e-BH,12000,0.5446214285714286,0.315743289248782,0.0025084877569016032,0.003403938119819152,0.68,0.8
ciciomt2024,0.1,0.01,marginal BH,12000,0.9654991909936428,0.04397620520528279,0.21151855333536967,0.5462534908151528,1.0,1.0
ciciomt2024,0.1,0.01,PACT conditional L=1,12000,0.7091605781809458,0.35004446808722295,0.20319432045794442,0.5509285140924324,0.88,1.0
ciciomt2024,0.1,0.01,PACT conditional L=5,12000,0.4277422699495155,0.4812086537554428,0.19895465291264833,0.5490519531319481,0.56,0.8
ciciomt2024,0.1,0.01,PACT conditional L=100 (shipped),12000,0.20728971924244272,0.487667008869196,0.1791671790457694,0.4973434034844332,0.28,0.2
ciciomt2024,0.1,0.01,Storey-BH,12000,0.9763089641580962,0.04121085431257018,0.23370890960686014,0.5323821301469392,1.0,1.0
ciciomt2024,0.1,0.01,BY,12000,0.0,0.0,0.0,0.0,0.0,0.0
ciciomt2024,0.1,0.01,e-BH,12000,0.6277119109877589,0.36510731380254596,0.0005738524811121012,0.0012434098991480347,0.84,1.0
ciciomt2024,0.1,0.001,marginal BH,12000,0.9812415011941049,0.04312756912475202,0.21262083491612932,0.5451210246774914,1.0,1.0
ciciomt2024,0.1,0.001,PACT conditional L=1,12000,0.7152136160163364,0.37321262999905513,0.20208478198789454,0.5473262876394893,0.88,1.0
ciciomt2024,0.1,0.001,PACT conditional L=5,12000,0.4498245100389508,0.5068151183039585,0.1893025418880742,0.5226857274206321,0.56,0.6
ciciomt2024,0.1,0.001,PACT conditional L=100 (shipped),12000,0.23207574233545225,0.5284933325877208,0.12706574011551183,0.35279105218204837,0.28,0.2
ciciomt2024,0.1,0.001,Storey-BH,12000,0.9975484399522502,0.004501023485590982,0.2305790308971563,0.5343476591434115,1.0,1.0
