method,mean_unknown_auroc,ci95,mean_rank
PCF,0.9260280191980269,0.04245322211323557,1.4181818181818182
usfAD,0.8761736890527413,0.024639341620111388,3.981818181818182
AIS-NIDS,0.8276132310614038,0.04694422243010533,4.890909090909091
RENOIR-DML,0.8144859291655685,0.055688832419378866,4.545454545454546
ORI,0.7941676566712967,0.08290670098307247,4.2727272727272725
CLOSR,0.7932240745855575,0.055366901904082826,5.2727272727272725
DOC++,0.7369906397627101,0.06564779536725861,6.0181818181818185
EFC,0.7250790763732805,0.06927817001279397,5.6
