rq,track,method,metric,n,mean,std,ci95_low,ci95_high
rq1,baselines,closr,aupr_out,1,0.4062534134623758,0.0,0.4062534134623758,0.4062534134623758
rq1,baselines,closr,far,1,0.02197802197802198,0.0,0.02197802197802198,0.02197802197802198
rq1,baselines,closr,fpr95,1,0.5956043956043956,0.0,0.5956043956043956,0.5956043956043956
rq1,baselines,closr,frr,1,0.6444444444444445,0.0,0.6444444444444445,0.6444444444444445
rq1,baselines,closr,known_accuracy,1,0.6307692307692307,0.0,0.6307692307692307,0.6307692307692307
rq1,baselines,closr,known_macro_f1,1,0.5822250030286733,0.0,0.5822250030286733,0.5822250030286733
rq1,baselines,closr,known_weighted_f1,1,0.5813420547728827,0.0,0.5813420547728827,0.5813420547728827
rq1,baselines,closr,open_world_macro_f1,1,0.556259064151812,0.0,0.556259064151812,0.556259064151812
rq1,baselines,closr,oscr,1,0.5279120879120879,0.0,0.5279120879120879,0.5279120879120879
rq1,baselines,closr,tpr_at_0_1_fpr,1,0.0,0.0,0.0,0.0
rq1,baselines,closr,tpr_at_1_fpr,1,0.28888888888888886,0.0,0.28888888888888886,0.28888888888888886
rq1,baselines,closr,tpr_at_5_fpr,1,0.35555555555555557,0.0,0.35555555555555557,0.35555555555555557
rq1,baselines,closr,unknown_auroc,1,0.7894505494505494,0.0,0.7894505494505494,0.7894505494505494
rq1,baselines,closr,unknown_f1,1,0.4507042253521127,0.0,0.4507042253521127,0.4507042253521127
rq1,baselines,closr,unknown_precision,1,0.6153846153846154,0.0,0.6153846153846154,0.6153846153846154
rq1,baselines,closr,unknown_recall,1,0.35555555555555557,0.0,0.35555555555555557,0.35555555555555557
rq1,baselines,efc,aupr_out,1,0.3644565379074199,0.0,0.3644565379074199,0.3644565379074199
rq1,baselines,efc,far,1,0.004395604395604396,0.0,0.004395604395604396,0.004395604395604396
rq1,baselines,efc,fpr95,1,0.810989010989011,0.0,0.810989010989011,0.810989010989011
rq1,baselines,efc,frr,1,0.9333333333333333,0.0,0.9333333333333333,0.9333333333333333
rq1,baselines,efc,known_accuracy,1,0.756043956043956,0.0,0.756043956043956,0.756043956043956
rq1,baselines,efc,known_macro_f1,1,0.7273036718893998,0.0,0.7273036718893998,0.7273036718893998
rq1,baselines,efc,known_weighted_f1,1,0.7275580885502289,0.0,0.7275580885502289,0.7275580885502289
rq1,baselines,efc,open_world_macro_f1,1,0.6567114729532406,0.0,0.6567114729532406,0.6567114729532406
rq1,baselines,efc,oscr,1,0.49352869352869355,0.0,0.49352869352869355,0.49352869352869355
rq1,baselines,efc,tpr_at_0_1_fpr,1,0.0,0.0,0.0,0.0
rq1,baselines,efc,tpr_at_1_fpr,1,0.08888888888888889,0.0,0.08888888888888889,0.08888888888888889
rq1,baselines,efc,tpr_at_5_fpr,1,0.5777777777777777,0.0,0.5777777777777777,0.5777777777777777
rq1,baselines,efc,unknown_auroc,1,0.659023199023199,0.0,0.659023199023199,0.659023199023199
rq1,baselines,efc,unknown_f1,1,0.12,0.0,0.12,0.12
rq1,baselines,efc,unknown_precision,1,0.6,0.0,0.6,0.6
rq1,baselines,efc,unknown_recall,1,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667
rq1,baselines,renoir_dml,aupr_out,1,0.6042332721348495,0.0,0.6042332721348495,0.6042332721348495
rq1,baselines,renoir_dml,far,1,0.02197802197802198,0.0,0.02197802197802198,0.02197802197802198
rq1,baselines,renoir_dml,fpr95,1,0.5802197802197803,0.0,0.5802197802197803,0.5802197802197803
rq1,baselines,renoir_dml,frr,1,0.4666666666666667,0.0,0.4666666666666667,0.4666666666666667
rq1,baselines,renoir_dml,known_accuracy,1,0.654945054945055,0.0,0.654945054945055,0.654945054945055
rq1,baselines,renoir_dml,known_macro_f1,1,0.6219907019196822,0.0,0.6219907019196822,0.6219907019196822
rq1,baselines,renoir_dml,known_weighted_f1,1,0.6216781101453052,0.0,0.6216781101453052,0.6216781101453052
rq1,baselines,renoir_dml,open_world_macro_f1,1,0.600999684209011,0.0,0.600999684209011,0.600999684209011
rq1,baselines,renoir_dml,oscr,1,0.5926739926739927,0.0,0.5926739926739927,0.5926739926739927
rq1,baselines,renoir_dml,tpr_at_0_1_fpr,1,0.0,0.0,0.0,0.0
rq1,baselines,renoir_dml,tpr_at_1_fpr,1,0.4666666666666667,0.0,0.4666666666666667,0.4666666666666667
rq1,baselines,renoir_dml,tpr_at_5_fpr,1,0.7111111111111111,0.0,0.7111111111111111,0.7111111111111111
