method,policy,prevalence,q_or_far,mean_alerts,std_alerts,mean_true_discoveries,std_true_discoveries,mean_false_discoveries,std_false_discoveries,mean_false_discovery_proportion,std_false_discovery_proportion,mean_power,std_power,mean_false_alarm_rate,std_false_alarm_rate,mean_alert_rate,std_alert_rate,empirical_fdr,empirical_fdr_se,empirical_fdr_ci95_low,empirical_fdr_ci95_high,fdp_p90,probability_any_alert,nominal_q,fraction_fdp_above_q,minimum_bh_rejections_at_pmin
hedl,by_marginal,0.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,39.0
hedl,by_marginal,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,20.0
hedl,by_marginal,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,10.0
hedl,by_marginal,0.25,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,39.0
hedl,by_marginal,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,20.0
hedl,by_marginal,0.25,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,10.0
hedl,by_marginal,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,39.0
hedl,by_marginal,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,20.0
hedl,by_marginal,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,10.0
hedl,by_marginal,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,39.0
hedl,by_marginal,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,20.0
hedl,by_marginal,0.05,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,10.0
hedl,by_marginal,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,39.0
hedl,by_marginal,0.01,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,20.0
hedl,by_marginal,0.01,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,10.0
hedl,by_marginal,0.001,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,39.0
hedl,by_marginal,0.001,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,20.0
hedl,by_marginal,0.001,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,10.0
hedl,bh_mondrian,0.5,0.05,669.735,19.32906720967103,654.87,18.852591360474165,14.865,3.6294129264875297,0.02217821036538862,0.005315835816787737,0.65487,0.01885259136047417,0.014865000000000001,0.0036294129264875293,0.3348675,0.009664533604835514,0.02217821036538862,0.00037588635537249383,0.021441473108858532,0.022914947621918706,0.028341494571002768,1.0,0.05,0.0,5.0
hedl,bh_mondrian,0.5,0.1,786.78,14.681941185855658,747.185,13.518674037741032,39.595,6.208356744528835,0.05028536661018947,0.007564746305408332,0.7471850000000001,0.013518674037741046,0.039595,0.006208356744528834,0.3933900000000001,0.00734097059292783,0.05028536661018947,0.0005349083410510113,0.04923694626172949,0.05133378695864946,0.06011771263689422,1.0,0.1,0.0,3.0
hedl,bh_mondrian,0.5,0.2,843.035,16.405470805856474,754.095,13.669316959184656,88.94,9.514675255947028,0.10541851986515564,0.010298337432898952,0.7540950000000001,0.013669316959184668,0.08893999999999998,0.00951467525594703,0.42151749999999993,0.008202735402928239,0.10541851986515564,0.0007282024233750111,0.10399124311534062,0.10684579661497066,0.11666297279779203,1.0,0.2,0.0,2.0
hedl,bh_mondrian,0.25,0.05,79.43,23.665276812941904,77.27,22.597351648092253,2.16,1.7289727394231356,0.02603710576618755,0.017736149215398574,0.15453999999999998,0.0451947032961845,0.00144,0.0011526484929487572,0.03971499999999999,0.011832638406470952,0.02603710576618755,0.0012541351382344796,0.02357900089524797,0.02849521063712713,0.04896573016363074,1.0,0.05,0.1,5.0
hedl,bh_mondrian,0.25,0.1,361.845,18.790861004393392,337.53,16.35132806986152,24.315,5.0659742870830815,0.06695351372495408,0.012282528109865635,0.6750599999999999,0.03270265613972302,0.01621,0.0033773161913887204,0.18092249999999999,0.009395430502196695,0.06695351372495408,0.0008685058916600378,0.0652512421773004,0.06865578527260775,0.08425508214981899,1.0,0.1,0.005,3.0
hedl,bh_mondrian,0.25,0.2,440.815,13.431036396848432,374.44,9.2010705079606,66.375,8.364460292206514,0.15028854327660507,0.015852518163259933,0.7488799999999999,0.018402141015921216,0.04425,0.0055763068614710105,0.22040749999999998,0.006715518198424221,0.15028854327660507,0.0011209423092124011,0.14809149635054877,0.15248559020266136,0.16766600021045985,1.0,0.2,0.005,2.0
hedl,bh_mondrian,0.1,0.05,0.215,3.0405591591021546,0.205,2.899137802864845,0.01,0.14142135623730953,0.0002325581395348837,0.0032888687497048727,0.0010249999999999999,0.01449568901432422,5.555555555555556e-06,7.856742013183859e-05,0.0001075,0.0015202795795510773,0.0002325581395348837,0.00023255813953488376,0.0,0.0006883720930232558,0.0,0.005,0.05,0.0,5.0
hedl,bh_mondrian,0.1,0.1,29.265,9.46428223326813,27.665,8.689089502468573,1.6,1.5004187020318813,0.0482291431517649,0.04187763184983662,0.138325,0.04344544751234286,0.0008888888888888889,0.0008335659455732673,0.014632500000000001,0.004732141116634065,0.0482291431517649,0.002961195746105322,0.04242519948939847,0.05403308681413133,0.10554765291607394,0.94,0.1,0.115,3.0
hedl,bh_mondrian,0.1,0.2,140.465,24.712391353977882,118.92,18.527545702244097,21.545,7.60969858554293,0.1495352637956457,0.03453166758660291,0.5946,0.09263772851122049,0.011969444444444446,0.004227610325301627,0.0702325,0.012356195676988943,0.1495352637956457,0.0024417576316166614,0.14474941883767703,0.15432110875361435,0.1942180774748924,1.0,0.2,0.065,2.0
hedl,bh_mondrian,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,5.0
hedl,bh_mondrian,0.05,0.1,1.335,5.221984354918643,1.26,4.981614438318194,0.075,0.387460485908826,0.004422027972027972,0.024425421827070345,0.0126,0.04981614438318195,3.9473684210526316e-05,0.000203926571530961,0.0006675,0.002610992177459322,0.004422027972027972,0.0017271381407263351,0.0010368372162043553,0.007807218727851589,0.0,0.065,0.1,0.01,3.0
hedl,bh_mondrian,0.05,0.2,17.29,10.369354733441213,14.725,8.088665374317845,2.565,3.0118317770530165,0.11610501244623027,0.10394331179596218,0.14725,0.08088665374317845,0.00135,0.0015851746195015876,0.008645,0.0051846773667206065,0.11610501244623027,0.007349902062991251,0.10169920440276742,0.13051082048969312,0.26958041958041956,0.915,0.2,0.22,2.0
