method,policy,prevalence,q_or_far,mean_alerts,std_alerts,mean_true_discoveries,std_true_discoveries,mean_false_discoveries,std_false_discoveries,mean_false_discovery_proportion,std_false_discovery_proportion,mean_power,std_power,mean_false_alarm_rate,std_false_alarm_rate,mean_alert_rate,std_alert_rate,empirical_fdr,empirical_fdr_se,empirical_fdr_ci95_low,empirical_fdr_ci95_high,fdp_p90,probability_any_alert,nominal_q,fraction_fdp_above_q,minimum_bh_rejections_at_pmin
hedl,by,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,9.0
hedl,by,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,33.0
hedl,by,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,17.0
hedl,by,0.05,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,9.0
hedl,by,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,33.0
hedl,by,0.01,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,17.0
hedl,by,0.01,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,9.0
hedl,by,0.001,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,33.0
hedl,by,0.001,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,17.0
hedl,by,0.001,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,9.0
hedl,fixed_far,0.5,0.01,41.795,4.2630791947963536,27.01,1.7593683197165142,14.785,3.7428357024423855,0.3490927289978228,0.05947803878632883,0.027010000000000006,0.0017593683197165144,0.014785000000000001,0.003742835702442386,0.020897499999999996,0.002131539597398177,0.3490927289978228,0.0042057324557489605,0.34084949338455484,0.35733596461109074,0.4222222222222222,1.0,,,
hedl,fixed_far,0.25,0.01,36.08,5.557700981611463,13.715,2.7111856517381754,22.365,4.649717665822227,0.6172498743359358,0.06788246734382179,0.027430000000000003,0.005422371303476351,0.014910000000000001,0.0030998117772148177,0.018039999999999997,0.0027788504908057314,0.6172498743359358,0.004800015298249075,0.6078418443513677,0.626657904320504,0.697906976744186,1.0,,,
hedl,fixed_far,0.1,0.01,32.94,5.827193226976656,5.595,2.175924686473783,27.345,5.376851089456632,0.8290721134709592,0.062161133814387384,0.027975000000000003,0.010879623432368915,0.015191666666666668,0.0029871394941425725,0.016470000000000002,0.002913596613488328,0.8290721134709592,0.004395455924639772,0.8204570198586653,0.8376872070832532,0.90625,1.0,,,
hedl,fixed_far,0.05,0.01,30.97,4.992366031549051,2.64,1.5271084773216137,28.33,4.688390451436999,0.9151979790521289,0.04684920840909427,0.0264,0.015271084773216136,0.014910526315789475,0.0024675739218089467,0.015485000000000002,0.0024961830157745257,0.9151979790521289,0.003312739295929238,0.9087050100321076,0.9216909480721501,0.9696969696969697,1.0,,,
hedl,fixed_far,0.01,0.01,30.575,5.307089692573993,0.595,0.7771711361562342,29.98,5.184980241090849,0.9809241023623082,0.02503701401858849,0.029750000000000002,0.03885855680781171,0.015141414141414143,0.0026186768894398225,0.015287500000000002,0.002653544846286997,0.9809241023623082,0.0017703842393206575,0.9774541492532397,0.9843940554713767,1.0,1.0,,,
hedl,fixed_far,0.001,0.01,30.215,5.264728085005457,0.045,0.2078243363368914,30.17,5.240075568138211,0.9986351942087236,0.006355555544792778,0.0225,0.1039121681684457,0.0151001001001001,0.0026226604445136192,0.015107500000000003,0.0026323640425027282,0.9986351942087236,0.0004494056423930736,0.9977543591496332,0.999516029267814,1.0,1.0,,,
