Label1,N1,Acc1,Label2,Acc2,N2,Label3,N3,Acc3,Label4,N4,Acc4,Label5,N5,Acc5,Total Acc
attack_bot,671,100.0,DOS_SlowHttpTest,99.26362297496318,0,DOS_SlowLoris,3,99.55621301775149,Web_XSS,2,99.85207100591717,attack_portscan,0,92.45562130177515,98.22485207100591
attack_bot,585,100.0,DOS_SlowHttpTest,99.26362297496318,7,DOS_SlowLoris,33,99.55621301775149,Web_XSS,51,99.85207100591717,attack_DDOS,0,38.01775147928994,87.33727810650888
attack_bot,0,100.0,DOS_SlowHttpTest,99.26362297496318,31,DOS_SlowLoris,0,99.55621301775149,Web_XSS,645,99.85207100591717,Web_BruteForce,0,2.0710059171597637,80.14792899408285
attack_bot,0,100.0,DOS_SlowHttpTest,99.26362297496318,302,DOS_SlowLoris,87,99.55621301775149,Web_XSS,287,99.85207100591717,DOS_GoldenEye,0,59.02366863905325,91.53846153846153
attack_bot,2,100.0,DOS_SlowHttpTest,99.26362297496318,36,DOS_SlowLoris,520,99.55621301775149,Web_XSS,118,99.85207100591717,DOS_Hulk,0,52.95857988165681,90.32544378698225
attack_bot,740,100.0,DOS_Hulk,99.34372436423298,480,SSHPatator,1,100.0,Web_BruteForce,1,100.0,attack_DDOS,0,30.441898527004913,85.93442622950819
attack_bot,56,100.0,DOS_Hulk,99.34372436423298,962,SSHPatator,3,100.0,Web_BruteForce,201,100.0,DOS_SlowHttpTest,0,30.032733224222586,85.85245901639344
attack_bot,1222,100.0,DOS_Hulk,99.34372436423298,0,SSHPatator,0,100.0,Web_BruteForce,0,100.0,FTPPatator,0,0.0,79.8360655737705
attack_bot,1,100.0,DOS_Hulk,99.11634756995582,6,SSHPatator,0,100.0,Web_BruteForce,668,100.0,Web_XSS,0,0.4444444444444444,79.94082840236686
attack_bot,1027,100.0,DOS_Hulk,99.34372436423298,192,SSHPatator,0,100.0,Web_BruteForce,3,100.0,attack_portscan,0,98.19967266775778,99.50819672131148
attack_bot,91,100.0,DOS_Hulk,99.34372436423298,1121,SSHPatator,0,100.0,Web_BruteForce,10,100.0,DOS_SlowLoris,0,24.631751227495908,84.77049180327869
DOS_SlowLoris,1348,98.88971132494449,DOS_Hulk,98.96449704142012,0,SSHPatator,0,99.9260901699926,Web_BruteForce,4,99.92603550295857,attack_portscan,0,99.63017751479289,99.46745562130178
DOS_SlowLoris,1000,98.88971132494449,DOS_Hulk,98.96449704142012,165,SSHPatator,0,99.9260901699926,Web_BruteForce,187,99.92603550295857,DOS_SlowHttpTest,0,33.357988165680474,86.21301775147928
DOS_SlowLoris,22,98.88971132494449,DOS_Hulk,98.96449704142012,1315,SSHPatator,7,99.9260901699926,Web_BruteForce,8,99.92603550295857,DOS_GoldenEye,0,6.43491124260355,80.82840236686391
DOS_SlowLoris,1350,98.88971132494449,DOS_Hulk,98.96449704142012,1,SSHPatator,0,99.9260901699926,Web_BruteForce,1,99.92603550295857,FTPPatator,0,5.399408284023669,80.62130177514793
DOS_SlowLoris,0,98.6627043090639,DOS_Hulk,98.37997054491899,5,SSHPatator,2,100.0,Web_BruteForce,668,99.85228951255539,Web_XSS,0,0.2962962962962963,79.46745562130178
attack_bot,16,100.0,attack_DDOS,100.0,1,DOS_SlowHttpTest,653,99.2603550295858,DOS_SlowLoris,5,98.22747415066469,Web_XSS,0,10.814814814814815,81.68639053254438
attack_bot,4,100.0,attack_DDOS,100.0,688,DOS_SlowHttpTest,138,99.42669942669943,DOS_SlowLoris,392,97.78688524590164,DOS_Hulk,0,51.800327332242226,89.78688524590164
attack_bot,0,100.0,attack_DDOS,100.0,0,DOS_SlowHttpTest,1,99.42669942669943,DOS_SlowLoris,1221,97.78688524590164,FTPPatator,0,0.7364975450081833,79.55737704918033
attack_bot,66,100.0,attack_DDOS,100.0,0,DOS_SlowHttpTest,1156,99.42669942669943,DOS_SlowLoris,0,97.78688524590164,Web_BruteForce,0,11.374795417348608,81.68852459016394
attack_DDOS,258,99.91796554552911,attack_portscan,100.0,489,DOS_GoldenEye,439,100.0,SSHPatator,35,100.0,attack_bot,0,52.170352170352174,90.40983606557377
attack_DDOS,0,99.96044303797468,attack_portscan,100.0,2,DOS_GoldenEye,2522,100.0,SSHPatator,4,100.0,DOS_Hulk,0,0.23734177215189875,80.03955696202532
attack_DDOS,112,99.96044303797468,attack_portscan,100.0,1098,DOS_GoldenEye,1318,100.0,SSHPatator,0,100.0,DOS_SlowLoris,0,1.3053797468354431,80.25316455696202
attack_DDOS,0,99.96044303797468,attack_portscan,100.0,10,DOS_GoldenEye,2476,100.0,SSHPatator,42,100.0,DOS_SlowHttpTest,0,29.865506329113924,85.96518987341773
attack_DDOS,19,99.85141158989599,attack_portscan,100.0,36,DOS_GoldenEye,7,100.0,SSHPatator,613,100.0,Web_XSS,0,36.888888888888886,87.36686390532545
attack_bot,782,100.0,DOS_SlowHttpTest,99.17965545529123,0,DOS_Hulk,243,99.34479934479934,DOS_GoldenEye,197,99.8360655737705,attack_DDOS,0,33.306055646481184,86.31147540983606
attack_bot,27,100.0,DOS_SlowHttpTest,98.96907216494846,503,DOS_Hulk,136,99.11242603550295,DOS_GoldenEye,9,99.85228951255539,Web_XSS,0,96.14814814814815,98.81656804733728
attack_bot,75,100.0,DOS_SlowHttpTest,99.17965545529123,867,DOS_Hulk,215,99.34479934479934,DOS_GoldenEye,65,99.8360655737705,Web_BruteForce,0,91.1620294599018,97.90163934426229
attack_bot,1222,100.0,DOS_SlowHttpTest,99.17965545529123,0,DOS_Hulk,0,99.34479934479934,DOS_GoldenEye,0,99.8360655737705,FTPPatator,0,0.0,79.63934426229508
attack_bot,89,100.0,DOS_SlowHttpTest,99.17965545529123,552,DOS_Hulk,58,99.34479934479934,DOS_GoldenEye,523,99.8360655737705,DOS_SlowLoris,0,51.145662847790504,89.88524590163935
attack_bot,0,100.0,attack_DDOS,99.55817378497791,0,DOS_Hulk,32,99.2603550295858,Web_XSS,644,99.70414201183432,Web_BruteForce,0,3.9940828402366866,80.50295857988165
attack_bot,674,100.0,attack_DDOS,99.55817378497791,0,DOS_Hulk,0,99.2603550295858,Web_XSS,2,99.70414201183432,attack_portscan,0,99.70414201183432,99.64497041420118
attack_bot,0,100.0,attack_DDOS,99.55817378497791,1,DOS_Hulk,669,99.2603550295858,Web_XSS,6,99.70414201183432,DOS_GoldenEye,0,2.514792899408284,80.20710059171597
attack_bot,0,100.0,attack_DDOS,99.55817378497791,0,DOS_Hulk,0,99.2603550295858,Web_XSS,676,99.70414201183432,SSHPatator,0,0.0,79.70414201183432
attack_DDOS,486,99.83593109105826,attack_portscan,100.0,427,DOS_SlowHttpTest,247,100.0,SSHPatator,61,100.0,attack_bot,0,47.74774774774775,89.50819672131148
attack_DDOS,937,99.92088607594937,attack_portscan,99.9209486166008,0,DOS_SlowHttpTest,1590,100.0,SSHPatator,1,100.0,DOS_Hulk,0,37.65822784810127,87.5
attack_DDOS,127,99.92088607594937,attack_portscan,99.9209486166008,15,DOS_SlowHttpTest,2386,100.0,SSHPatator,0,100.0,DOS_SlowLoris,0,1.661392405063291,80.3006329113924
attack_DDOS,72,99.85196150999259,attack_portscan,100.0,0,DOS_SlowHttpTest,559,100.0,SSHPatator,720,100.0,Web_BruteForce,0,61.9541080680977,92.36686390532545
attack_DDOS,1,99.92088607594937,attack_portscan,99.9209486166008,0,DOS_SlowHttpTest,0,100.0,SSHPatator,2527,100.0,FTPPatator,0,1.3844936708860758,80.24525316455696
attack_DDOS,18,99.70282317979198,attack_portscan,100.0,0,DOS_SlowHttpTest,250,100.0,SSHPatator,407,100.0,Web_XSS,0,69.18518518518518,93.78698224852072
DOS_SlowHttpTest,1,99.25980754996299,DOS_Hulk,98.66863905325444,296,DOS_GoldenEye,1055,99.70436067997043,Web_BruteForce,0,99.92603550295857,attack_DDOS,0,24.556213017751478,84.42307692307692
DOS_SlowHttpTest,647,99.25980754996299,DOS_Hulk,98.66863905325444,69,DOS_GoldenEye,636,99.70436067997043,Web_BruteForce,0,99.92603550295857,DOS_SlowLoris,0,53.69822485207101,90.25147928994083
DOS_SlowHttpTest,0,99.25980754996299,DOS_Hulk,98.66863905325444,0,DOS_GoldenEye,55,99.70436067997043,Web_BruteForce,1297,99.92603550295857,FTPPatator,0,20.192307692307693,83.55029585798816
DOS_SlowHttpTest,6,99.25980754996299,DOS_Hulk,98.66863905325444,206,DOS_GoldenEye,1,99.70436067997043,Web_BruteForce,1139,99.92603550295857,SSHPatator,0,45.93195266272189,88.69822485207101
DOS_SlowHttpTest,0,99.25980754996299,DOS_Hulk,98.66863905325444,207,DOS_GoldenEye,0,99.70436067997043,Web_BruteForce,1145,99.92603550295857,attack_portscan,0,99.85207100591717,99.48224852071006
DOS_SlowHttpTest,34,99.17965545529123,DOS_Hulk,98.76948318293684,462,DOS_GoldenEye,282,99.67239967239966,Web_BruteForce,443,99.91803278688525,attack_bot,0,84.68468468468468,96.44262295081967
attack_DDOS,0,99.70282317979198,DOS_SlowLoris,100.0,0,FTPPatator,0,100.0,Web_XSS,676,100.0,Web_BruteForce,0,0.8875739644970414,80.11834319526628
attack_DDOS,312,99.70282317979198,DOS_SlowLoris,100.0,141,FTPPatator,0,100.0,Web_XSS,223,100.0,DOS_GoldenEye,0,55.47337278106509,91.03550295857988
attack_DDOS,473,99.70282317979198,DOS_SlowLoris,100.0,0,FTPPatator,3,100.0,Web_XSS,200,100.0,SSHPatator,0,27.514792899408285,85.44378698224853
attack_DDOS,0,99.70282317979198,DOS_SlowLoris,100.0,674,FTPPatator,0,100.0,Web_XSS,2,100.0,attack_portscan,0,0.14792899408284024,79.97041420118343
attack_DDOS,3,99.70282317979198,DOS_SlowLoris,100.0,526,FTPPatator,0,100.0,Web_XSS,147,100.0,DOS_SlowHttpTest,0,4.142011834319527,80.76923076923077
attack_DDOS,165,99.70282317979198,DOS_SlowLoris,100.0,352,FTPPatator,0,100.0,Web_XSS,159,100.0,DOS_Hulk,0,56.95266272189349,91.33136094674556
attack_bot,472,99.55423476968797,DOS_Hulk,99.41089837997055,103,FTPPatator,0,100.0,Web_XSS,101,99.40828402366864,DOS_SlowHttpTest,0,22.189349112426036,84.11242603550296
attack_bot,0,99.55423476968797,DOS_Hulk,99.41089837997055,667,FTPPatator,2,100.0,Web_XSS,7,99.40828402366864,DOS_GoldenEye,0,1.9230769230769231,80.05917159763314
attack_bot,0,99.55423476968797,DOS_Hulk,99.41089837997055,34,FTPPatator,0,100.0,Web_XSS,642,99.40828402366864,Web_BruteForce,0,1.4792899408284024,79.97041420118343
attack_bot,377,99.55423476968797,DOS_Hulk,99.41089837997055,297,FTPPatator,0,100.0,Web_XSS,2,99.40828402366864,attack_DDOS,0,34.76331360946745,86.62721893491124
attack_bot,674,99.55423476968797,DOS_Hulk,99.41089837997055,0,FTPPatator,0,100.0,Web_XSS,2,99.40828402366864,attack_portscan,0,98.66863905325444,99.40828402366864
attack_bot,168,100.0,attack_portscan,99.55817378497791,0,DOS_SlowHttpTest,505,99.2603550295858,DOS_SlowLoris,2,98.22747415066469,Web_XSS,0,52.148148148148145,89.85207100591715
attack_bot,2,99.91789819376025,attack_portscan,99.67186218211648,0,DOS_SlowHttpTest,1197,99.34479934479934,DOS_SlowLoris,23,97.8688524590164,DOS_GoldenEye,0,3.8461538461538463,80.09836065573771
attack_bot,928,99.91789819376025,attack_portscan,99.67186218211648,0,DOS_SlowHttpTest,0,99.34479934479934,DOS_SlowLoris,294,97.8688524590164,FTPPatator,0,34.288052373158756,86.19672131147541
attack_bot,266,99.91789819376025,attack_portscan,99.67186218211648,0,DOS_SlowHttpTest,956,99.34479934479934,DOS_SlowLoris,0,97.8688524590164,Web_BruteForce,0,48.117839607201304,88.9672131147541
attack_bot,1095,99.91789819376025,attack_portscan,99.67186218211648,0,DOS_SlowHttpTest,126,99.34479934479934,DOS_SlowLoris,1,97.8688524590164,SSHPatator,0,18.985270049099835,83.1311475409836
attack_bot,0,100.0,attack_DDOS,100.0,1,DOS_SlowHttpTest,6,99.40828402366864,Web_BruteForce,668,100.0,Web_XSS,0,0.5925925925925926,80.02958579881657
attack_bot,1219,100.0,attack_DDOS,99.91796554552911,0,DOS_SlowHttpTest,0,99.59049959049959,Web_BruteForce,3,100.0,attack_portscan,0,14.566284779050736,82.78688524590164
attack_bot,29,100.0,attack_DDOS,99.91796554552911,972,DOS_SlowHttpTest,206,99.59049959049959,Web_BruteForce,15,100.0,DOS_Hulk,0,43.61702127659575,88.60655737704919
attack_bot,17,100.0,attack_DDOS,99.91796554552911,2,DOS_SlowHttpTest,1080,99.59049959049959,Web_BruteForce,123,100.0,DOS_SlowLoris,0,19.230769230769234,83.72131147540983
DOS_SlowHttpTest,58,99.48186528497409,DOS_Hulk,99.11242603550295,1289,SSHPatator,1,99.9260901699926,Web_BruteForce,4,99.92603550295857,DOS_GoldenEye,0,11.68639053254438,82.0266272189349
DOS_SlowHttpTest,2,99.48186528497409,DOS_Hulk,99.11242603550295,921,SSHPatator,429,99.9260901699926,Web_BruteForce,0,99.92603550295857,attack_DDOS,0,5.9171597633136095,80.87278106508876
DOS_SlowHttpTest,0,99.48186528497409,DOS_Hulk,99.11242603550295,0,SSHPatator,0,99.9260901699926,Web_BruteForce,1352,99.92603550295857,FTPPatator,0,0.0,79.68934911242603
DOS_SlowHttpTest,0,99.48186528497409,DOS_Hulk,99.11242603550295,17,SSHPatator,0,99.9260901699926,Web_BruteForce,1335,99.92603550295857,attack_portscan,0,99.70414201183432,99.6301775147929
DOS_SlowHttpTest,1,99.40564635958395,DOS_Hulk,98.67452135493373,4,SSHPatator,2,100.0,Web_BruteForce,668,99.85228951255539,Web_XSS,0,0.5925925925925926,79.73372781065089
DOS_SlowHttpTest,0,99.42575881870386,DOS_Hulk,99.17965545529123,737,SSHPatator,38,100.0,Web_BruteForce,446,99.91803278688525,attack_bot,0,21.457821457821456,83.98360655737704
attack_bot,6,100.0,DOS_GoldenEye,100.0,1064,SSHPatator,0,100.0,Web_BruteForce,152,100.0,DOS_SlowHttpTest,0,34.779050736497545,86.93442622950819
attack_bot,1219,100.0,DOS_GoldenEye,100.0,0,SSHPatator,0,100.0,Web_BruteForce,3,100.0,attack_portscan,0,0.0,79.9672131147541
attack_bot,0,100.0,DOS_GoldenEye,100.0,0,SSHPatator,0,100.0,Web_BruteForce,1222,100.0,FTPPatator,0,0.0,79.9672131147541
attack_bot,0,100.0,DOS_GoldenEye,100.0,7,SSHPatator,0,100.0,Web_BruteForce,668,100.0,Web_XSS,0,0.2962962962962963,80.08875739644971
attack_DDOS,0,99.55423476968797,DOS_Hulk,99.11634756995582,0,FTPPatator,0,100.0,Web_XSS,676,99.85207100591717,SSHPatator,0,0.0,79.70414201183432
attack_DDOS,0,99.55423476968797,DOS_Hulk,99.11634756995582,34,FTPPatator,0,100.0,Web_XSS,642,99.85207100591717,Web_BruteForce,0,0.14792899408284024,79.73372781065089
attack_DDOS,0,99.55423476968797,DOS_Hulk,99.11634756995582,565,FTPPatator,0,100.0,Web_XSS,111,99.85207100591717,DOS_SlowHttpTest,0,73.81656804733728,94.46745562130178
attack_DDOS,35,99.55423476968797,DOS_Hulk,99.11634756995582,367,FTPPatator,0,100.0,Web_XSS,274,99.85207100591717,attack_bot,0,83.57988165680473,96.42011834319527
attack_DDOS,0,99.55423476968797,DOS_Hulk,99.11634756995582,0,FTPPatator,0,100.0,Web_XSS,676,99.85207100591717,attack_portscan,0,99.70414201183432,99.64497041420118
attack_DDOS,0,99.55423476968797,DOS_Hulk,99.11634756995582,19,FTPPatator,50,100.0,Web_XSS,607,99.85207100591717,DOS_SlowLoris,0,45.41420118343195,88.78698224852072
attack_DDOS,1,99.55423476968797,DOS_Hulk,99.11634756995582,656,FTPPatator,2,100.0,Web_XSS,17,99.85207100591717,DOS_GoldenEye,0,8.431952662721894,81.3905325443787
DOS_Hulk,665,99.17965545529123,DOS_GoldenEye,100.0,111,SSHPatator,27,100.0,Web_BruteForce,418,99.91803278688525,attack_bot,0,45.7002457002457,88.95081967213115
DOS_Hulk,654,99.0377498149519,DOS_GoldenEye,100.0,698,SSHPatator,0,99.9260901699926,Web_BruteForce,0,99.92603550295857,DOS_SlowLoris,0,45.93195266272189,88.96449704142012
DOS_Hulk,2,99.10846953937593,DOS_GoldenEye,100.0,6,SSHPatator,0,100.0,Web_BruteForce,667,99.85228951255539,Web_XSS,0,0.2962962962962963,79.88165680473372
DOS_Hulk,24,99.0377498149519,DOS_GoldenEye,100.0,1201,SSHPatator,0,99.9260901699926,Web_BruteForce,127,99.92603550295857,DOS_SlowHttpTest,0,12.278106508875739,82.23372781065089
