case,shots,seed,method,unknown_auroc,fpr95,aupr_out,oscr,open_world_macro_f1
loeo_unsw,0 (khoa),13,cd_zd_srl,0.5258249765625,0.8823125,0.20760968541311225,0.0623056640625,0.033001433582236714
loeo_unsw,0 (khoa),13,closr,0.5409104765625,0.929125,0.22653501846455706,0.06736062500000001,0.015606762878862293
loeo_unsw,0 (khoa),13,efc,0.5067597578125,0.9506875,0.19907409315717184,0.0437175703125,0.019045417651017832
loeo_unsw,0 (khoa),13,foss,0.4830965,0.9775,0.18779794599303032,0.00822503125,0.0130043855248351
loeo_unsw,0 (khoa),13,hedl,0.582020296875,0.86175,0.2438870104993464,0.089903671875,0.060955637443820807
loeo_unsw,0 (khoa),13,renoir_dml,0.5095081171875,0.954625,0.20004147045216827,0.0934273671875,0.013913662628438152
loeo_unsw,0 (khoa),37,cd_zd_srl,0.51642790625,0.9603125,0.19816368460052297,0.11560971874999999,0.07281275527866324
loeo_unsw,0 (khoa),37,closr,0.5315595468750001,0.902875,0.21796811120891524,0.0648462578125,0.015857694006359873
loeo_unsw,0 (khoa),37,efc,0.5067597578125,0.9506875,0.19907409315717184,0.0437175703125,0.019045417651017832
loeo_unsw,0 (khoa),37,foss,0.48492131250000003,0.9763125,0.18833656573266308,0.009886953124999999,0.013317835615520478
loeo_unsw,0 (khoa),37,hedl,0.5028951640625,0.902125,0.2053577408551663,0.042314390625,0.027356766408114856
loeo_unsw,0 (khoa),37,renoir_dml,0.461601171875,0.9785625,0.18376626679851293,0.0886822890625,0.014540871946729157
loeo_unsw,0 (khoa),73,cd_zd_srl,0.5200912734375001,0.908,0.1957042173697096,0.0643047421875,0.041086908529705896
loeo_unsw,0 (khoa),73,closr,0.5472301640625,0.9199375,0.22850577954743131,0.055614890624999996,0.016714463897954713
loeo_unsw,0 (khoa),73,efc,0.5067597578125,0.9506875,0.19907409315717184,0.0437175703125,0.019045417651017832
loeo_unsw,0 (khoa),73,foss,0.5032382265625,0.9706875,0.19261106012754708,0.0155326796875,0.015039825531760372
loeo_unsw,0 (khoa),73,hedl,0.4980675078125,0.947375,0.20107873495661233,0.0254525859375,0.022145197368880033
loeo_unsw,0 (khoa),73,renoir_dml,0.517651515625,0.948,0.1992535352533046,0.08144051562499999,0.012291779397163659
unsw_to_ton,0 (khoa),13,cd_zd_srl,0.43213968666666663,0.8431333333333333,0.2108071897321909,0.035896953333333335,0.057379292550444355
unsw_to_ton,0 (khoa),13,closr,0.4931884333333333,0.9119333333333334,0.2262624691589013,0.16023047999999998,0.12877041559447366
unsw_to_ton,0 (khoa),13,efc,0.6696802733333334,0.9812666666666666,0.5739728974757985,0.0022387133333333334,0.0029734170598408024
unsw_to_ton,0 (khoa),13,foss,0.3398994533333334,0.9996,0.18688759453505097,0.21534296,0.21620498334461413
unsw_to_ton,0 (khoa),13,hedl,0.4614979133333333,0.9166666666666666,0.23760725622563178,0.08254153333333333,0.060621261919331246
unsw_to_ton,0 (khoa),13,renoir_dml,0.27188428,0.9984666666666666,0.17090597311429273,0.12281949333333335,0.16939761481066765
unsw_to_ton,0 (khoa),37,cd_zd_srl,0.4389346866666667,0.7747333333333334,0.21164775117365553,0.08781356,0.06336797691890882
unsw_to_ton,0 (khoa),37,closr,0.48543301333333333,0.8607333333333334,0.22454182086474647,0.13148784,0.0829055835103709
unsw_to_ton,0 (khoa),37,efc,0.6696802733333334,0.9812666666666666,0.5739728974757985,0.0022387133333333334,0.0029734170598408024
unsw_to_ton,0 (khoa),37,foss,0.24916377333333334,0.9994,0.16661646693255358,0.13213155333333332,0.20118200076973755
unsw_to_ton,0 (khoa),37,hedl,0.46644605333333333,0.9080666666666667,0.23046276497764118,0.12659787333333333,0.06817567741072424
unsw_to_ton,0 (khoa),37,renoir_dml,0.3086288,0.9994666666666666,0.1825356332532008,0.08248140000000001,0.12278861757757775
unsw_to_ton,0 (khoa),73,cd_zd_srl,0.39452066666666663,0.9104,0.2009342530098404,0.04322537333333333,0.04645442404676841
unsw_to_ton,0 (khoa),73,closr,0.44449304,0.8813333333333333,0.20856434557746928,0.08567346,0.054329871930117846
unsw_to_ton,0 (khoa),73,efc,0.6696802733333334,0.9812666666666666,0.5739728974757985,0.0022387133333333334,0.0029734170598408024
unsw_to_ton,0 (khoa),73,foss,0.22839292666666666,0.9990666666666667,0.16071039368799425,0.1469126666666667,0.20238530679421576
unsw_to_ton,0 (khoa),73,hedl,0.5715155933333333,0.8658,0.3215703283607483,0.10836157999999999,0.10315583448256574
unsw_to_ton,0 (khoa),73,renoir_dml,0.3360198266666667,0.9990666666666667,0.20637537924912064,0.08897064,0.12920329429647368
loeo_unsw,"2000 luong, lan 0%",13,cd_zd_srl,0.5592503303571429,0.963,0.25815096887353806,0.05825389285714286,0.0550519040151347
loeo_unsw,"2000 luong, lan 0%",13,closr,0.502736125,0.9280714285714285,0.22485974010995446,0.1257386785714286,0.03401952845644912
loeo_unsw,"2000 luong, lan 0%",13,efc,0.5216514375,0.9454285714285714,0.23459385442008415,0.06965314285714286,0.023059513539005608
loeo_unsw,"2000 luong, lan 0%",13,foss,0.5833366517857143,0.9716428571428571,0.27640484029880585,0.10352677678571429,0.024179443820112254
loeo_unsw,"2000 luong, lan 0%",13,hedl,0.5375946160714287,0.832,0.23509407205504365,0.14322794642857142,0.10924058229677538
loeo_unsw,"2000 luong, lan 0%",13,renoir_dml,0.5170934553571429,0.8679285714285714,0.22582624630894266,0.08011788392857143,0.017900947431555275
loeo_unsw,"2000 luong, lan 0%",37,cd_zd_srl,0.5626163392857143,0.9605,0.2514205330752415,0.0639388125,0.056987114415058916
loeo_unsw,"2000 luong, lan 0%",37,closr,0.5395379732142858,0.9101428571428571,0.24178163810594797,0.09623230357142856,0.0307010533689715
loeo_unsw,"2000 luong, lan 0%",37,efc,0.5201513839285714,0.9433571428571429,0.23372316033101947,0.06819149107142858,0.02233823762344479
loeo_unsw,"2000 luong, lan 0%",37,foss,0.5434029196428571,0.9160714285714285,0.25864362394872153,0.0959063482142857,0.020819810277051997
loeo_unsw,"2000 luong, lan 0%",37,hedl,0.5639563482142856,0.7918571428571428,0.24502327472491559,0.14241083035714286,0.11290395128641133
loeo_unsw,"2000 luong, lan 0%",37,renoir_dml,0.5188401964285715,0.9425714285714286,0.22584184000728474,0.08609054464285713,0.015577744357661077
loeo_unsw,"2000 luong, lan 0%",73,cd_zd_srl,0.5659527321428571,0.9432142857142857,0.25651598035126116,0.0658677142857143,0.044448387186552
loeo_unsw,"2000 luong, lan 0%",73,closr,0.5617886428571428,0.9342142857142857,0.2530815317238374,0.12556834821428572,0.03782586371615917
loeo_unsw,"2000 luong, lan 0%",73,efc,0.5212157857142857,0.9450714285714286,0.23429587165604343,0.06890788392857143,0.022665911435132902
loeo_unsw,"2000 luong, lan 0%",73,foss,0.5663425446428572,0.9717142857142858,0.26904407113858186,0.09543755357142858,0.022780247018458946
loeo_unsw,"2000 luong, lan 0%",73,hedl,0.5614913303571428,0.8130714285714286,0.2447732590717922,0.14135966964285715,0.13591878725576875
loeo_unsw,"2000 luong, lan 0%",73,renoir_dml,0.5087201428571428,0.9652142857142857,0.22555010057503388,0.0883509375,0.022004359465005417
loeo_unsw,"400 luong, lan 0%",13,cd_zd_srl,0.5167200560897436,0.9701282051282051,0.21349126640798605,0.08669873397435898,0.06649450389050446
loeo_unsw,"400 luong, lan 0%",13,closr,0.5430438381410256,0.9401282051282052,0.23220984784920112,0.10971500801282053,0.031722384589001874
loeo_unsw,"400 luong, lan 0%",13,efc,0.5116675400641025,0.9485897435897436,0.20236916204367347,0.048062139423076924,0.016374632772045424
loeo_unsw,"400 luong, lan 0%",13,foss,0.5418579727564102,0.9017307692307692,0.23594368568295304,0.13829174679487177,0.02871936539559316
