case,shots,seed,method,unknown_auroc,fpr95,aupr_out,oscr,open_world_macro_f1
loeo_unsw,0,13,cd_zd_srl,0.5258249765625,0.8823125,0.20760968541311225,0.0623056640625,0.033001433582236714
loeo_unsw,0,13,closr,0.5409104765625,0.929125,0.22653501846455706,0.06736062500000001,0.015606762878862293
loeo_unsw,0,13,efc,0.5067597578125,0.9506875,0.19907409315717184,0.0437175703125,0.019045417651017832
loeo_unsw,0,13,foss,0.4830965,0.9775,0.18779794599303032,0.00822503125,0.0130043855248351
loeo_unsw,0,13,hedl,0.582020296875,0.86175,0.2438870104993464,0.089903671875,0.060955637443820807
loeo_unsw,0,13,renoir_dml,0.5095081171875,0.954625,0.20004147045216827,0.0934273671875,0.013913662628438152
loeo_unsw,0,37,cd_zd_srl,0.51642790625,0.9603125,0.19816368460052297,0.11560971874999999,0.07281275527866324
loeo_unsw,0,37,closr,0.5315595468750001,0.902875,0.21796811120891524,0.0648462578125,0.015857694006359873
loeo_unsw,0,37,efc,0.5067597578125,0.9506875,0.19907409315717184,0.0437175703125,0.019045417651017832
loeo_unsw,0,37,foss,0.48492131250000003,0.9763125,0.18833656573266308,0.009886953124999999,0.013317835615520478
loeo_unsw,0,37,hedl,0.5028951640625,0.902125,0.2053577408551663,0.042314390625,0.027356766408114856
loeo_unsw,0,37,renoir_dml,0.461601171875,0.9785625,0.18376626679851293,0.0886822890625,0.014540871946729157
loeo_unsw,0,73,cd_zd_srl,0.5200912734375001,0.908,0.1957042173697096,0.0643047421875,0.041086908529705896
loeo_unsw,0,73,closr,0.5472301640625,0.9199375,0.22850577954743131,0.055614890624999996,0.016714463897954713
loeo_unsw,0,73,efc,0.5067597578125,0.9506875,0.19907409315717184,0.0437175703125,0.019045417651017832
loeo_unsw,0,73,foss,0.5032382265625,0.9706875,0.19261106012754708,0.0155326796875,0.015039825531760372
loeo_unsw,0,73,hedl,0.4980675078125,0.947375,0.20107873495661233,0.0254525859375,0.022145197368880033
loeo_unsw,0,73,renoir_dml,0.517651515625,0.948,0.1992535352533046,0.08144051562499999,0.012291779397163659
loeo_unsw,50,13,cd_zd_srl,0.5258926121794871,0.8963461538461538,0.21707261957068458,0.0979233814102564,0.07513878605667955
loeo_unsw,50,13,closr,0.5402129326923077,0.8973717948717949,0.22367620408672664,0.07249265224358975,0.01974336752797718
loeo_unsw,50,13,efc,0.5062016105769231,0.9087179487179488,0.19593351844074688,0.09373480769230769,0.022257873463909818
loeo_unsw,50,13,foss,0.5300853525641025,0.9818589743589744,0.22663982198313964,0.36916803685897437,0.14836988939299048
loeo_unsw,50,13,hedl,0.5727928926282051,0.9148076923076923,0.24137580295127337,0.388830016025641,0.1621704950709952
loeo_unsw,50,13,renoir_dml,0.5226570352564103,0.9617948717948718,0.2073524375534715,0.07628874198717948,0.013356931403770103
loeo_unsw,50,37,cd_zd_srl,0.5247226682692308,0.9837179487179487,0.22132080293066894,0.09692158653846154,0.0667462978108868
loeo_unsw,50,37,closr,0.555549671474359,0.9437820512820513,0.23313563990637662,0.07087488782051282,0.015213450453532118
loeo_unsw,50,37,efc,0.4957074198717949,0.9281410256410256,0.19332592526586134,0.09273819711538461,0.020621607945396227
loeo_unsw,50,37,foss,0.5592636217948718,0.8813461538461539,0.23658124360068442,0.37442585737179485,0.14088558539907137
loeo_unsw,50,37,hedl,0.5680862580128205,0.9037820512820512,0.23759864151784765,0.39111350160256414,0.1360730090377445
loeo_unsw,50,37,renoir_dml,0.48907171474358974,0.9591666666666666,0.19622177675707836,0.07869846955128205,0.013287420735681706
loeo_unsw,50,73,cd_zd_srl,0.5267468269230768,0.8765384615384615,0.2193271030855607,0.0961845592948718,0.07080136536912304
loeo_unsw,50,73,closr,0.5766154326923077,0.9267948717948717,0.23735533360000943,0.05320846955128205,0.017431405151134113
loeo_unsw,50,73,efc,0.5046086137820512,0.9014102564102564,0.19493014708886175,0.0896117467948718,0.018104462807792706
loeo_unsw,50,73,foss,0.5623531490384616,0.8892948717948718,0.23908087410753634,0.3900852243589744,0.13639675004259735
loeo_unsw,50,73,hedl,0.5831347435897436,0.8089102564102564,0.23911115947969333,0.3985364342948718,0.21319402682488392
loeo_unsw,50,73,renoir_dml,0.5252948317307692,0.9153205128205129,0.20834039702933305,0.07540213141025641,0.014278132242145674
unsw_to_ton,0,13,cd_zd_srl,0.43213968666666663,0.8431333333333333,0.2108071897321909,0.035896953333333335,0.057379292550444355
unsw_to_ton,0,13,closr,0.4931884333333333,0.9119333333333334,0.2262624691589013,0.16023047999999998,0.12877041559447366
unsw_to_ton,0,13,efc,0.6696802733333334,0.9812666666666666,0.5739728974757985,0.0022387133333333334,0.0029734170598408024
unsw_to_ton,0,13,foss,0.3398994533333334,0.9996,0.18688759453505097,0.21534296,0.21620498334461413
unsw_to_ton,0,13,hedl,0.4614979133333333,0.9166666666666666,0.23760725622563178,0.08254153333333333,0.060621261919331246
unsw_to_ton,0,13,renoir_dml,0.27188428,0.9984666666666666,0.17090597311429273,0.12281949333333335,0.16939761481066765
unsw_to_ton,0,37,cd_zd_srl,0.4389346866666667,0.7747333333333334,0.21164775117365553,0.08781356,0.06336797691890882
unsw_to_ton,0,37,closr,0.48543301333333333,0.8607333333333334,0.22454182086474647,0.13148784,0.0829055835103709
unsw_to_ton,0,37,efc,0.6696802733333334,0.9812666666666666,0.5739728974757985,0.0022387133333333334,0.0029734170598408024
unsw_to_ton,0,37,foss,0.24916377333333334,0.9994,0.16661646693255358,0.13213155333333332,0.20118200076973755
unsw_to_ton,0,37,hedl,0.46644605333333333,0.9080666666666667,0.23046276497764118,0.12659787333333333,0.06817567741072424
unsw_to_ton,0,37,renoir_dml,0.3086288,0.9994666666666666,0.1825356332532008,0.08248140000000001,0.12278861757757775
unsw_to_ton,0,73,cd_zd_srl,0.39452066666666663,0.9104,0.2009342530098404,0.04322537333333333,0.04645442404676841
unsw_to_ton,0,73,closr,0.44449304,0.8813333333333333,0.20856434557746928,0.08567346,0.054329871930117846
unsw_to_ton,0,73,efc,0.6696802733333334,0.9812666666666666,0.5739728974757985,0.0022387133333333334,0.0029734170598408024
unsw_to_ton,0,73,foss,0.22839292666666666,0.9990666666666667,0.16071039368799425,0.1469126666666667,0.20238530679421576
unsw_to_ton,0,73,hedl,0.5715155933333333,0.8658,0.3215703283607483,0.10836157999999999,0.10315583448256574
unsw_to_ton,0,73,renoir_dml,0.3360198266666667,0.9990666666666667,0.20637537924912064,0.08897064,0.12920329429647368
